s,a,t,b
69,59,0,50
69,59,0,50
67,64,0,50
67,64,0,50
67,64,0,50
67,64,0,47
67,64,0,47
67,64,0,48
67,64,0,48
67,64,0,48
76,64,0,48
76,64,0,48
69,64,0,53
69,64,0,53
69,61,0,53
69,61,0,53
69,61,0,53
69,62,0,53
69,62,0,53
72,62,0,53
72,62,0,53
72,62,0,53
71,67,0,53
71,67,0,53
71,67,0,50
71,67,0,50
71,67,0,52
71,67,0,52
71,67,0,52
79,67,0,52
79,67,0,52
73,67,52,45
73,67,52,45
73,67,52,45
73,69,52,45
73,69,52,45
73,70,52,45
73,70,52,45
73,70,52,55
73,70,52,55
73,70,52,55
74,69,57,53
74,69,57,53
74,69,57,52
74,69,57,52
74,69,57,52
76,69,57,50
76,69,57,50
76,69,57,49
76,69,57,49
76,69,53,50
76,69,53,50
76,69,53,50
73,69,53,50
73,69,53,50
74,69,53,50
74,69,53,50
74,69,53,50
74,69,53,41
74,69,53,41
74,69,50,46
74,69,50,46
74,65,50,46
74,65,50,46
74,65,50,46
74,67,50,46
74,67,50,46
76,67,50,46
76,67,50,46
76,67,50,46
77,69,49,45
77,69,49,45
76,69,49,45
76,69,49,45
79,69,49,45
79,69,49,45
79,69,49,45
79,70,49,45
79,70,49,45
79,69,50,45
79,69,50,45
79,69,50,45
77,69,50,45
77,69,50,45
76,67,52,45
76,67,52,45
74,67,52,45
74,67,52,45
74,67,52,45
73,67,53,45
73,67,53,45
69,67,53,45
69,67,53,45
69,67,53,45
74,65,53,45
74,65,53,45
74,62,53,46
74,62,53,46
74,69,53,45
74,69,53,45
74,69,53,45
71,69,55,43
71,69,55,43
72,69,53,45
72,69,53,45
72,69,53,45
72,67,52,45
72,67,52,45
72,66,50,46
72,66,50,46
72,62,50,46
72,62,50,46
72,62,50,46
70,67,50,46
70,67,50,46
70,67,50,43
70,67,50,43
70,67,50,43
69,67,50,50
69,67,50,50
69,64,50,50
69,64,50,50
0,65,57,50
0,65,57,50
0,65,57,50
0,65,53,50
